node_id,start,end,type
0,00:00,23:59,depot
1,09:00,11:00,client
2,10:00,13:00,client
3,16:00,20:00,client
4,09:00,13:00,client
5,09:00,12:00,client
6,14:00,18:00,client
7,14:00,20:00,client
8,12:00,15:00,client
9,10:00,14:00,client
10,14:00,19:00,client
11,09:00,11:00,client
12,09:00,13:00,client
13,09:00,13:00,client
14,14:00,20:00,client
15,09:00,12:00,client
16,09:00,12:00,client
17,16:00,21:00,client
18,14:00,19:00,client
19,12:00,15:00,client
20,11:00,15:00,client
21,11:00,14:00,client
22,16:00,22:00,client
23,11:00,15:00,client
24,16:00,19:00,client
25,12:00,18:00,client
26,11:00,14:00,client
27,09:00,11:00,client
28,11:00,13:00,client
29,12:00,18:00,client
30,09:00,13:00,client
31,12:00,15:00,client
32,09:00,11:00,client
33,12:00,15:00,client
34,14:00,19:00,client
35,09:00,13:00,client
36,11:00,15:00,client
37,11:00,15:00,client
38,11:00,13:00,client
39,12:00,18:00,client
40,16:00,22:00,client
41,10:00,12:00,client
42,11:00,14:00,client
43,14:00,20:00,client
44,11:00,14:00,client
45,12:00,15:00,client
46,12:00,15:00,client
47,14:00,18:00,client
48,11:00,15:00,client
49,16:00,19:00,client
50,14:00,19:00,client
51,09:00,11:00,client
52,09:00,13:00,client
53,09:00,13:00,client
54,09:00,12:00,client
55,12:00,17:00,client
56,11:00,13:00,client
57,14:00,20:00,client
58,09:00,12:00,client
59,10:00,13:00,client
60,14:00,18:00,client
61,09:00,12:00,client
62,09:00,13:00,client
63,09:00,13:00,client
64,11:00,13:00,client
65,12:00,15:00,client
66,09:00,11:00,client
67,11:00,13:00,client
68,16:00,21:00,client
69,11:00,14:00,client
70,16:00,21:00,client
71,12:00,18:00,client
72,09:00,13:00,client
73,09:00,12:00,client
74,09:00,13:00,client
75,11:00,13:00,client
76,16:00,22:00,client
77,11:00,14:00,client
78,16:00,21:00,client
79,09:00,11:00,client
80,11:00,13:00,client
81,14:00,17:00,client
82,09:00,12:00,client
83,09:00,13:00,client
84,14:00,18:00,client
85,11:00,14:00,client
86,09:00,11:00,client
87,14:00,19:00,client
88,09:00,11:00,client
89,12:00,17:00,client
90,14:00,20:00,client
91,14:00,18:00,client
92,09:00,11:00,client
93,09:00,11:00,client
94,14:00,20:00,client
95,09:00,11:00,client
96,10:00,13:00,client
97,16:00,21:00,client
98,14:00,18:00,client
99,10:00,14:00,client
100,14:00,17:00,client
